"address","categoryName","claimThisBusiness","googleFoodUrl","hotelStars","location/lat","location/lng","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","phone","price","rank","state","street","title","totalScore","url","website","reviewsCount"
"181 Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng phở","true",,,"10.7747404","106.6869716","Thứ Tư","06:00 to 14:00","Thứ Năm","06:00 to 14:00","Thứ Sáu","06:00 to 14:00","Thứ Bảy","06:00 to 14:00","Chủ Nhật","06:00 to 14:00","Thứ Hai","06:00 to 14:00","Thứ Ba","06:00 to 14:00",,"$$","69","Quận 3, Hồ Chí Minh","181 Đ. Cách Mạng Tháng 8","Phở Kim","4.2","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Kim&query_place_id=ChIJVSaLuyQvdTERxb1ikGd1hww",,"218"
"138 Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng Việt Nam","false",,,"10.7753249","106.6888879","Thứ Tư","10:00 to 14:30","Thứ Năm","10:00 to 14:30","Thứ Sáu","10:00 to 14:30","Thứ Bảy","10:00 to 14:30","Chủ Nhật","10:00 to 14:30","Thứ Hai","10:00 to 14:30","Thứ Ba","10:00 to 14:30","+84 906 663 380",,"68","Quận 3, Hồ Chí Minh","138 Võ Văn Tần","Quán Cơm Bà Béo","3.3","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20C%C6%A1m%20B%C3%A0%20B%C3%A9o&query_place_id=ChIJm1GJOjsvdTERzQDJF7tfmao",,"128"
"288 M1, Đ. Nam Kỳ Khởi Nghĩa, Ward 8, Quận 3, Hồ Chí Minh 700000, Việt Nam","Nhà hàng phở","false",,,"10.7898196","106.6850666","Thứ Tư","05:00 to 13:00","Thứ Năm","05:00 to 13:00","Thứ Sáu","05:00 to 13:00","Thứ Bảy","05:00 to 13:00","Chủ Nhật","05:00 to 13:00","Thứ Hai","05:00 to 13:00","Thứ Ba","05:00 to 13:00","+84 28 3846 5866",,"50","Quận 3, Hồ Chí Minh","288 M1, Đ. Nam Kỳ Khởi Nghĩa","Phở Dậu","4.2","https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20D%E1%BA%ADu&query_place_id=ChIJcTP_QDwvdTERBmJElL8nsHU",,"747"
"531 Đ. Hoàng Sa, Phường 8, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng món chay","false",,,"10.7916341","106.6827071","Thứ Tư","06:00 to 12:00","Thứ Năm","06:00 to 12:00","Thứ Sáu","06:00 to 12:00","Thứ Bảy","06:00 to 12:00","Chủ Nhật","06:00 to 12:00","Thứ Hai","06:00 to 12:00","Thứ Ba","06:00 to 12:00","+84 28 3843 5470",,"49","Quận 3, Hồ Chí Minh","531 Đ. Hoàng Sa","Quán chay Bà Tư","3.8","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20chay%20B%C3%A0%20T%C6%B0&query_place_id=ChIJzerCPucpdTERcOol2c-Pz28",,"33"
"290/28 Đ. Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng món chay","false",,,"10.7905947","106.6845487","Thứ Tư","09:00 to 22:00","Thứ Năm","09:00 to 22:00","Thứ Sáu","09:00 to 22:00","Thứ Bảy","09:00 to 22:00","Chủ Nhật","09:00 to 22:00","Thứ Hai","09:00 to 22:00","Thứ Ba","09:00 to 22:00","+84 903 745 681",,"47","Quận 3, Hồ Chí Minh","290/28 Đ. Nam Kỳ Khởi Nghĩa","Padme Chay","4.9","https://www.google.com/maps/search/?api=1&query=Padme%20Chay&query_place_id=ChIJpw7w5E0pdTERsol-kBz1SCM","http://www.padmechay.com/","1055"
"280 Đ. Nam Kỳ Khởi Nghĩa, Võ Thị Sáu, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng Trung Quốc","true",,,"10.7890233","106.6857002","Thứ Tư","11:00 to 21:30","Thứ Năm","11:00 to 21:30","Thứ Sáu","11:00 to 21:30","Thứ Bảy","11:00 to 21:30","Chủ Nhật","11:00 to 21:30","Thứ Hai","11:00 to 21:30","Thứ Ba","11:00 to 21:30","+84 28 3622 2280",,"46","Quận 3, Hồ Chí Minh","280 Đ. Nam Kỳ Khởi Nghĩa","Herb & Spices Restaurant","4.7","https://www.google.com/maps/search/?api=1&query=Herb%20%26%20Spices%20Restaurant&query_place_id=ChIJz9LrYQAvdTERepEPyX6RKGU","https://lavelasaigon.com/vi/am-thuc/","18"
"235 Đ. Nam Kỳ Khởi Nghĩa, Võ Thị Sáu, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng cho người ăn chay","true",,,"10.788872","106.6846244","Thứ Tư","16:00 to 20:30","Thứ Năm","16:00 to 20:30","Thứ Sáu","16:00 to 20:30","Thứ Bảy","16:00 to 20:30","Chủ Nhật","16:00 to 20:30","Thứ Hai","16:00 to 20:30","Thứ Ba","16:00 to 20:30","+84 28 3848 1907",,"45","Quận 3, Hồ Chí Minh","235 Đ. Nam Kỳ Khởi Nghĩa","Quán chay 235","4.7","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20chay%20235&query_place_id=ChIJ0xgiwywvdTERXQgDcPUQ9Ds",,"28"
"384/48A Đ. Nam Kỳ Khởi Nghĩa, Phường 14, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng cho người ăn chay","false",,,"10.7909028","106.6841147","Thứ Tư","10:00 to 21:00","Thứ Năm","10:00 to 21:00","Thứ Sáu","10:00 to 21:00","Thứ Bảy","10:00 to 21:00","Chủ Nhật","10:00 to 21:00","Thứ Hai","10:00 to 21:00","Thứ Ba","10:00 to 21:00","+84 975 551 624",,"44","Quận 3, Hồ Chí Minh","384/48A Đ. Nam Kỳ Khởi Nghĩa","Lạc Nhiên Vegetarian & Tea","4.8","https://www.google.com/maps/search/?api=1&query=L%E1%BA%A1c%20Nhi%C3%AAn%20Vegetarian%20%26%20Tea&query_place_id=ChIJF4QRiKgpdTERWmzof1MfoXg","https://www.facebook.com/lacnhien.2022/","41"
"52/46Ter Võ Văn Tần, Phường 6, Quận 3, Hồ Chí Minh, Việt Nam","Nhà hàng","false",,,"10.778176","106.6909143",,,,,,,,,,,,,,,"+84 938 934 084",,"67","Quận 3, Hồ Chí Minh","52/46Ter Võ Văn Tần","Le MéKong Restaurant (Bún Chả & Bún Đậu Mắm Tôm) - Hà Nội quán","4.8","https://www.google.com/maps/search/?api=1&query=Le%20M%C3%A9Kong%20Restaurant%20(B%C3%BAn%20Ch%E1%BA%A3%20%26%20B%C3%BAn%20%C4%90%E1%BA%ADu%20M%E1%BA%AFm%20T%C3%B4m)%20-%20H%C3%A0%20N%E1%BB%99i%20qu%C3%A1n&query_place_id=ChIJiyyZnzAvdTERMDdQ4L7Qan8",,"130"
"80 Huỳnh Tịnh Của, Phường 8, Quận 3, Hồ Chí Minh 72408, Việt Nam","Nhà hàng","true",,,"10.789858","106.686958","Thứ Tư","07:00 to 22:00","Thứ Năm","07:30 to 22:00","Thứ Sáu","07:30 to 22:00","Thứ Bảy","07:30 to 22:30","Chủ Nhật","07:30 to 22:00","Thứ Hai","07:30 to 22:00","Thứ Ba","07:30 to 22:00","+84 28 3820 4715","$$","40","Quận 3, Hồ Chí Minh","80 Huỳnh Tịnh Của","Nhà Hàng Hoa Cau","4.4","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Hoa%20Cau&query_place_id=ChIJkVaESy0vdTERoIY1jqwxyVc",,"10"
